hour_index,pv_mw
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,4.63592
9,12.7243
10,27.911
11,36.2301
12,37.1093
13,26.0137
14,27.9428
15,29.7453
16,27.8805
17,12.0508
18,0.0104812
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0.170688
32,4.47731
33,13.0702
34,28.073
35,40.3575
36,44.6311
37,44.6311
38,44.6311
39,42.1876
40,31.494
41,16.2436
42,0.679404
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0.0149284
56,5.48183
57,12.47
58,23.6329
59,37.4835
60,39.8372
61,44.6311
62,44.6311
63,42.4224
64,31.6199
65,16.3706
66,0.717887
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0.145521
80,4.08028
81,12.7594
82,28.3659
83,40.5026
84,44.6311
85,44.6311
86,44.6311
87,41.8834
88,31.2279
89,16.2132
90,0.694659
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0.175015
104,4.24912
105,13.1805
106,28.5971
107,41.0965
108,44.6311
109,44.6311
110,44.6311
111,43.1697
112,32.4792
113,16.0337
114,0.218294
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,4.57781
129,12.8641
130,28.1251
131,40.4669
132,44.6311
133,44.6311
134,44.6311
135,42.6379
136,32.0406
137,16.8423
138,0.810642
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0.0779406
152,3.99477
153,12.4398
154,27.9329
155,39.9685
156,44.6311
157,44.6311
158,42.3982
159,35.3362
160,15.5537
161,6.62245
162,0.36797
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0.12046
176,3.9842
177,12.5627
178,28.1178
179,39.9971
180,44.6311
181,34.4614
182,30.768
183,13.6058
184,27.0515
185,13.4182
186,0.104747
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0.0760246
200,4.09643
201,12.6669
202,27.9543
203,40.2442
204,44.6311
